46	16.624422	fe80::221:ccff:fec1:2eae	ff02::fb	MDNS	107	Standard query 0x0000 PTR _ipps._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question
47	20.205540	192.168.2.1	192.168.2.255	DB-LSP-DISC	177	Dropbox LAN sync Discovery Protocol
48	31.159337	192.168.2.1	224.0.0.251	MDNS	87	Standard query 0x0000 PTR _ipps._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question
49	32.626136	fe80::221:ccff:fec1:2eae	ff02::fb	MDNS	107	Standard query 0x0000 PTR _ipps._tcp.local, "QM" question PTR _ipp._tcp.local, "QM" question
50	47.062692	192.168.2.1	192.168.2.255	NBNS	110	Registration NB ISHRAQ-THINKPAD<20>
51	47.062732	192.168.2.1	192.168.2.255	NBNS	110	Registration NB ISHRAQ-THINKPAD<03>
52	47.062757	192.168.2.1	192.168.2.255	NBNS	110	Registration NB ISHRAQ-THINKPAD<00>
53	47.062781	192.168.2.1	192.168.2.255	NBNS	110	Registration NB WORKGROUP<00>
54	47.062803	192.168.2.1	192.168.2.255	NBNS	110	Registration NB WORKGROUP<1e>
55	47.062881	192.168.2.1	192.168.2.255	BROWSER	284	Host Announcement ISHRAQ-THINKPAD, Workstation, Server, Print Queue Server, Xenix Server, NT Workstation, NT Server, Potential Browser, DFS server
56	49.065453	192.168.2.1	192.168.2.255	NBNS	110	Registration NB ISHRAQ-THINKPAD<20>
57	49.065506	192.168.2.1	192.168.2.255	NBNS	110	Registration NB ISHRAQ-THINKPAD<03>
58	49.065539	192.168.2.1	192.168.2.255	NBNS	110	Registration NB ISHRAQ-THINKPAD<00>
59	49.065569	192.168.2.1	192.168.2.255	NBNS	110	Registration NB WORKGROUP<00>
60	49.065583	192.168.2.1	192.168.2.255	NBNS	110	Registration NB WORKGROUP<1e>
61	49.065643	192.168.2.1	192.168.2.255	NBNS	110	Registration NB ISHRAQ-THINKPAD<20>
62	49.065661	192.168.2.1	192.168.2.255	NBNS	110	Registration NB ISHRAQ-THINKPAD<03>
63	49.065676	192.168.2.1	192.168.2.255	NBNS	110	Registration NB ISHRAQ-THINKPAD<00>
64	49.065693	192.168.2.1	192.168.2.255	NBNS	110	Registration NB WORKGROUP<00>
65	49.065707	192.168.2.1	192.168.2.255	NBNS	110	Registration NB WORKGROUP<1e>
66	50.247768	192.168.2.1	192.168.2.255	DB-LSP-DISC	177	Dropbox LAN sync Discovery Protocol
67	51.068080	192.168.2.1	192.168.2.255	NBNS	110	Registration NB ISHRAQ-THINKPAD<20>
68	51.068111	192.168.2.1	192.168.2.255	NBNS	110	Registration NB ISHRAQ-THINKPAD<03>
69	51.068126	192.168.2.1	192.168.2.255	NBNS	110	Registration NB ISHRAQ-THINKPAD<00>
70	51.068138	192.168.2.1	192.168.2.255	NBNS	110	Registration NB WORKGROUP<00>
71	51.068149	192.168.2.1	192.168.2.255	NBNS	110	Registration NB WORKGROUP<1e>
